,apperences,freq
nbre_ingredient,128477.0,900.960729312763
nbre_recipe,14260.0,100.0
pepper,7619.0,53.42917251051894
salt,6344.0,44.48807854137449
sugar,5342.0,37.46143057503507
oil,5172.0,36.26928471248249
onion,4971.0,34.85974754558205
cheese,4735.0,33.2047685834502
butter,4053.0,28.422159887798035
powder,3229.0,22.643758765778397
flour,3217.0,22.559607293127627
egg,3102.0,21.7531556802244
sauce,2866.0,20.098176718092567
clove,2635.0,18.47826086956521
water,2618.0,18.35904628330996
juice,2524.0,17.69985974754558
milk,2427.0,17.019635343618507
tomato,2117.0,14.84572230014026
cream,1813.0,12.713884992987378
vinegar,1496.0,10.490883590462834
garlic,1254.0,8.79382889200561
parsley,1202.0,8.429172510518935
cinnamon,1167.0,8.183730715287517
leaf,1160.0,8.134642356241237
bean,1012.0,7.096774193548388
potato,948.0,6.6479663394109405
mustard,912.0,6.395511921458626
soda,901.0,6.318373071528752
extract,870.0,6.100981767180926
carrot,864.0,6.05890603085554
broth,838.0,5.876577840112201
basil,798.0,5.596072931276298
vanilla,795.0,5.575035063113604
mushroom,783.0,5.490883590462833
mix,774.0,5.427769985974756
oregano,744.0,5.217391304347825
ginger,740.0,5.189340813464235
seed,712.0,4.9929873772791025
beef,708.0,4.964936886395512
breast,687.0,4.817671809256662
mayonnaise,678.0,4.754558204768583
rice,668.0,4.6844319775596075
honey,656.0,4.600280504908835
cumin,649.0,4.551192145862553
flake,647.0,4.5371669004207575
wine,620.0,4.3478260869565215
chip,586.0,4.109396914446003
paprika,576.0,4.0392706872370265
cilantro,550.0,3.856942496493689
soup,517.0,3.6255259467040677
celery,516.0,3.6185133239831697
bread,516.0,3.6185133239831697
thyme,514.0,3.604488078541374
seasoning,511.0,3.5834502103786816
zucchini,500.0,3.506311360448808
nutmeg,485.0,3.4011220196353436
breadcrumb,469.0,3.2889200561009813
of,467.0,3.274894810659186
bacon,463.0,3.246844319775595
paste,447.0,3.134642356241234
cornstarch,438.0,3.0715287517531555
pasta,426.0,2.9873772791023843
yogurt,421.0,2.952314165497896
syrup,419.0,2.9382889200561007
olive,413.0,2.896213183730715
chicken,394.0,2.76297335203366
corn,390.0,2.7349228611500696
stock,370.0,2.594670406732117
apple,369.0,2.5876577840112196
chili,366.0,2.566619915848527
walnut,364.0,2.552594670406732
shrimp,364.0,2.5525946704067315
banana,362.0,2.538569424964937
margarine,356.0,2.4964936886395512
nut,349.0,2.447405329593268
almond,340.0,2.384291725105189
pecan,331.0,2.3211781206171103
spinach,326.0,2.2861150070126226
oat,324.0,2.2720897615708275
cucumber,317.0,2.2230014025245435
raisin,317.0,2.2230014025245435
white,302.0,2.1178120617110796
zest,295.0,2.068723702664796
pea,291.0,2.040673211781206
fillet,287.0,2.0126227208976157
rosemary,283.0,1.9845722300140254
noodle,283.0,1.9845722300140252
lemon,269.0,1.8863955119214584
sausage,267.0,1.8723702664796635
ketchup,262.0,1.8373071528751754
scallion,261.0,1.830294530154278
tortilla,260.0,1.8232819074333797
steak,259.0,1.8162692847124824
coconut,252.0,1.7671809256661992
buttermilk,243.0,1.7040673211781203
lettuce,243.0,1.7040673211781203
cube,236.0,1.654978962131837
shallot,234.0,1.640953716690042
spray,230.0,1.6129032258064515
coriander,229.0,1.6058906030855538
cabbage,227.0,1.5918653576437587
half,223.0,1.5638148667601681
blueberry,218.0,1.5287517531556802
strawberry,212.0,1.4866760168302946
salsa,212.0,1.4866760168302944
dressing,211.0,1.479663394109397
substitute,211.0,1.4796633941093968
chocolate,206.0,1.4446002805049087
yeast,204.0,1.4305750350631135
ham,201.0,1.4095371669004202
dill,199.0,1.3955119214586256
chive,197.0,1.3814866760168303
avocado,191.0,1.3394109396914444
turmeric,183.0,1.2833099579242635
shortening,179.0,1.2552594670406734
yolk,177.0,1.2412342215988779
rib,174.0,1.2201963534361853
pineapple,173.0,1.2131837307152873
squash,170.0,1.1921458625525945
crumb,170.0,1.1921458625525942
peach,165.0,1.1570827489481061
mint,164.0,1.1500701262272088
chop,161.0,1.129032258064516
cocoa,161.0,1.129032258064516
crust,150.0,1.0518934081346423
half-and-half,149.0,1.0448807854137447
broccoli,149.0,1.0448807854137447
orange,143.0,1.002805049088359
rind,140.0,0.9817671809256664
coffee,139.0,0.9747545582047689
cherry,139.0,0.9747545582047688
applesauce,138.0,0.9677419354838711
allspice,138.0,0.967741935483871
jalapeno,138.0,0.967741935483871
turkey,137.0,0.9607293127629735
cornmeal,137.0,0.9607293127629735
gingerroot,136.0,0.9537166900420757
floret,135.0,0.9467040673211781
peanut,133.0,0.9326788218793831
topping,132.0,0.9256661991584852
macaroni,131.0,0.9186535764375877
caper,130.0,0.9116409537166901
cracker,129.0,0.9046283309957927
roll,128.0,0.897615708274895
cayenne,128.0,0.8976157082748949
cranberry,128.0,0.8976157082748948
rum,126.0,0.8835904628330998
eggplant,121.0,0.8485273492286116
bun,120.0,0.8415147265077141
sage,119.0,0.8345021037868163
shell,119.0,0.8345021037868162
whip,116.0,0.8134642356241234
roast,112.0,0.785413744740533
stick,112.0,0.7854137447405329
leek,109.0,0.7643758765778401
vodka,108.0,0.7573632538569427
molass,108.0,0.7573632538569426
liqueur,105.0,0.7363253856942499
slice,105.0,0.7363253856942497
tofu,103.0,0.7223001402524546
beer,103.0,0.7223001402524545
tarragon,103.0,0.7223001402524544
thigh,102.0,0.7152875175315568
crabmeat,102.0,0.7152875175315566
chickpea,101.0,0.7082748948106592
lime,101.0,0.7082748948106592
piece,99.0,0.694249649368864
cereal,99.0,0.694249649368864
ice,99.0,0.6942496493688639
heart,98.0,0.6872370266479664
gelatin,95.0,0.6661991584852737
mango,92.0,0.6451612903225807
raspberry,90.0,0.6311360448807855
puree,89.0,0.6241234221598879
pork,89.0,0.6241234221598878
spaghetti,89.0,0.6241234221598878
jam,87.0,0.6100981767180926
marshmallow,87.0,0.6100981767180926
chile,87.0,0.6100981767180925
peel,85.0,0.5960729312762976
pumpkin,85.0,0.5960729312762973
vegetable,84.0,0.5890603085553999
peppercorn,84.0,0.5890603085553998
fruit,84.0,0.5890603085553998
oatmeal,84.0,0.5890603085553998
tenderloin,84.0,0.5890603085553997
granule,83.0,0.5820476858345023
weed,83.0,0.5820476858345021
spice,82.0,0.5750350631136047
dough,82.0,0.5750350631136046
asparagu,82.0,0.5750350631136045
preserve,81.0,0.5680224403927071
marjoram,81.0,0.5680224403927069
lentil,80.0,0.5610098176718094
sherry,80.0,0.5610098176718094
concentrate,79.0,0.5539971949509117
meat,78.0,0.5469845722300142
sprout,78.0,0.5469845722300142
green,78.0,0.5469845722300141
horseradish,76.0,0.5329593267882189
sprig,76.0,0.5329593267882188
cookie,74.0,0.5189340813464236
chestnut,72.0,0.5049088359046283
couscou,71.0,0.4978962131837308
cardamom,71.0,0.4978962131837308
wedge,70.0,0.49088359046283314
tuna,69.0,0.48387096774193555
cauliflower,69.0,0.4838709677419355
kernel,68.0,0.47685834502103785
filling,66.0,0.46283309957924285
apricot,66.0,0.4628330995792426
soymilk,65.0,0.45582047685834504
herb,64.0,0.4488078541374475
linguine,63.0,0.4417952314165499
date,63.0,0.4417952314165498
pear,59.0,0.41374474053295945
berry,57.0,0.39971949509116417
chunk,57.0,0.3997194950911641
pepperoni,57.0,0.3997194950911641
pudding,55.0,0.3856942496493689
salmon,54.0,0.37868162692847135
marmalade,54.0,0.37868162692847135
scallop,54.0,0.3786816269284713
cashew,54.0,0.37868162692847124
coloring,53.0,0.37166900420757376
bran,51.0,0.3576437587657784
masala,50.0,0.35063113604488083
smoke,50.0,0.3506311360448808
biscuit,49.0,0.3436185133239833
pastry,49.0,0.3436185133239832
blend,47.0,0.329593267882188
tahini,47.0,0.32959326788218796
germ,47.0,0.3295932678821879
tequila,46.0,0.32258064516129037
grape,46.0,0.32258064516129037
prosciutto,46.0,0.3225806451612903
tartar,46.0,0.3225806451612903
pimiento,46.0,0.3225806451612903
chuck,45.0,0.3155680224403927
relish,45.0,0.31556802244039267
lamb,44.0,0.3085553997194952
pickle,44.0,0.3085553997194952
brandy,44.0,0.30855539971949514
hamburger,43.0,0.3015427769985975
bag,42.0,0.2945301542777
bouillon,42.0,0.2945301542776999
cider,42.0,0.2945301542776999
capsicum,42.0,0.2945301542776998
jelly,41.0,0.2875175315568024
barley,41.0,0.2875175315568022
radish,40.0,0.28050490883590473
bit,40.0,0.28050490883590473
tortellini,40.0,0.2805049088359047
essence,40.0,0.2805049088359047
baguette,40.0,0.2805049088359047
nectar,38.0,0.26647966339410945
cornflour,38.0,0.2664796633941094
beet,37.0,0.2594670406732118
pistachio,36.0,0.25245441795231416
kielbasa,36.0,0.25245441795231416
blackberry,36.0,0.25245441795231416
granular,36.0,0.25245441795231416
crouton,35.0,0.24544179523141654
sauerkraut,35.0,0.24544179523141654
hazelnut,34.0,0.23842917251051893
adobo,34.0,0.23842917251051893
catsup,33.0,0.23141654978962134
watermelon,33.0,0.2314165497896213
top,33.0,0.2314165497896213
lemongras,33.0,0.2314165497896213
cantaloupe,33.0,0.2314165497896213
pod,32.0,0.2244039270687237
square,31.0,0.21739130434782608
krispy,31.0,0.21739130434782608
frosting,30.0,0.2103786816269285
sec,30.0,0.21037868162692847
arugula,30.0,0.21037868162692847
currant,29.0,0.20336605890603088
wing,29.0,0.20336605890603088
clam,29.0,0.20336605890603088
flavoring,29.0,0.20336605890603085
starter,29.0,0.20336605890603085
fraiche,29.0,0.20336605890603085
brown,28.0,0.19635343618513326
dog,28.0,0.19635343618513323
whiskey,28.0,0.19635343618513323
choy,28.0,0.19635343618513323
pectin,27.0,0.18934081346423562
bar,27.0,0.18934081346423562
quinoa,27.0,0.18934081346423562
espresso,26.0,0.18232819074333803
tapioca,26.0,0.182328190743338
candy,26.0,0.182328190743338
skewer,26.0,0.182328190743338
fettuccine,26.0,0.182328190743338
bourbon,26.0,0.182328190743338
guacamole,26.0,0.182328190743338
crisco,26.0,0.182328190743338
meal,25.0,0.1753155680224404
round,25.0,0.1753155680224404
fig,25.0,0.1753155680224404
feta,25.0,0.1753155680224404
tender,25.0,0.1753155680224404
kahlua,25.0,0.1753155680224404
penne,25.0,0.1753155680224404
spread,24.0,0.16830294530154277
pimento,24.0,0.16830294530154277
bisquick,24.0,0.16830294530154277
cake,24.0,0.16830294530154277
chutney,23.0,0.16129032258064516
prawn,23.0,0.16129032258064516
saffron,23.0,0.16129032258064516
starch,23.0,0.16129032258064516
grenadine,23.0,0.16129032258064516
tea,23.0,0.16129032258064516
muffin,22.0,0.15427769985974757
salami,22.0,0.15427769985974754
leave,22.0,0.15427769985974754
sultana,22.0,0.15427769985974754
edamame,22.0,0.15427769985974754
ale,22.0,0.15427769985974754
gorgonzola,22.0,0.15427769985974754
vinaigrette,22.0,0.15427769985974754
sweetener,22.0,0.15427769985974754
vermouth,21.0,0.14726507713884995
plum,21.0,0.14726507713884995
wafer,21.0,0.14726507713884993
loin,21.0,0.14726507713884993
yoghurt,21.0,0.14726507713884993
thread,21.0,0.14726507713884993
pancetta,21.0,0.14726507713884993
bulb,20.0,0.14025245441795234
wrapper,20.0,0.14025245441795234
rhubarb,20.0,0.1402524544179523
fennel,20.0,0.1402524544179523
mussel,20.0,0.1402524544179523
spear,20.0,0.1402524544179523
jicama,20.0,0.1402524544179523
leg,20.0,0.1402524544179523
ring,20.0,0.1402524544179523
gum,20.0,0.1402524544179523
cap,20.0,0.1402524544179523
pesto,19.0,0.13323983169705472
spam,19.0,0.1332398316970547
parsnip,18.0,0.1262272089761571
sirloin,18.0,0.12622720897615708
gravy,18.0,0.12622720897615708
lemonade,18.0,0.12622720897615708
schnapp,18.0,0.12622720897615708
cutlet,18.0,0.12622720897615708
ghee,18.0,0.12622720897615708
shoulder,18.0,0.12622720897615708
link,18.0,0.12622720897615708
shoot,17.0,0.11921458625525948
drumstick,17.0,0.11921458625525948
miso,17.0,0.11921458625525946
foil,17.0,0.11921458625525946
sake,17.0,0.11921458625525946
turnip,17.0,0.11921458625525946
provence,17.0,0.11921458625525946
tamari,17.0,0.11921458625525946
polenta,17.0,0.11921458625525946
tomatillo,17.0,0.11921458625525946
brisket,17.0,0.11921458625525946
fat,17.0,0.11921458625525946
pretzel,17.0,0.11921458625525946
anise,16.0,0.11220196353436186
mirin,16.0,0.11220196353436186
lard,16.0,0.11220196353436186
amaretto,16.0,0.11220196353436186
strip,16.0,0.11220196353436186
popcorn,16.0,0.11220196353436185
consomme,16.0,0.11220196353436185
sheet,16.0,0.11220196353436185
wrap,16.0,0.11220196353436185
okra,16.0,0.11220196353436185
mace,16.0,0.11220196353436185
jell-o,15.0,0.10518934081346425
meatball,15.0,0.10518934081346425
