,apperences,freq
nbre_ingredient,123355.0,897.9109040617266
nbre_recipe,13738.0,100.0
pepper,6728.0,48.973649730674055
salt,6119.0,44.54069005677681
sugar,5778.0,42.05852380259135
butter,4702.0,34.226233804047155
onion,4637.0,33.7530936089678
cheese,4438.0,32.30455670403261
oil,4248.0,30.921531518416074
flour,3578.0,26.0445479691367
egg,3339.0,24.30484786722959
powder,3095.0,22.52875236570098
sauce,2570.0,18.70723540544475
water,2528.0,18.401514048624257
milk,2521.0,18.35056048915418
clove,2327.0,16.938418983840442
juice,1952.0,14.208764012228853
cream,1817.0,13.22608822244868
tomato,1488.0,10.83127092735478
cinnamon,1415.0,10.29989809288106
potato,1216.0,8.85136118794584
garlic,1151.0,8.378220992866499
vinegar,1099.0,7.999708836803028
broth,1098.0,7.992429756878732
parsley,1053.0,7.6648711602853385
soda,1012.0,7.3664288833891405
vanilla,1001.0,7.286359004221866
leaf,997.0,7.257242684524677
carrot,974.0,7.089823846265833
bean,957.0,6.966079487552774
mix,933.0,6.791381569369632
extract,906.0,6.594846411413599
ginger,845.0,6.150822536031446
mushroom,793.0,5.772310379967973
mustard,745.0,5.4229145436016895
celery,703.0,5.117193186781192
nutmeg,703.0,5.117193186781191
beef,655.0,4.767797350414909
chip,652.0,4.745960110642016
breast,647.0,4.709564711020528
soup,635.0,4.622215751928959
wine,631.0,4.593099432231767
seed,620.0,4.513029553064495
rice,609.0,4.432959673897222
flake,580.0,4.22186635609259
mayonnaise,574.0,4.178191876546806
seasoning,537.0,3.908865919347795
thyme,533.0,3.8797495996506037
cumin,530.0,3.8579123598777114
apple,527.0,3.8360751201048173
basil,522.0,3.799679720483331
oregano,522.0,3.7996797204833306
bacon,515.0,3.7487261610132476
pecan,514.0,3.74144708108895
syrup,514.0,3.7414470810889493
paprika,503.0,3.6613772019216775
bread,488.0,3.5521910030572137
honey,470.0,3.421167564419857
walnut,461.0,3.3556558451011793
stock,446.0,3.246469646236715
margarine,429.0,3.1227252875236573
cranberry,424.0,3.086329887902169
cornstarch,409.0,2.9771436890377054
breadcrumb,406.0,2.955306449264813
of,370.0,2.6932595719901
paste,368.0,2.678701412141505
raisin,363.0,2.642306012520017
chicken,345.0,2.5112825738826605
almond,339.0,2.4676080943368754
nut,338.0,2.460329014412578
corn,327.0,2.380259135245305
cilantro,322.0,2.343863735623817
pasta,321.0,2.33658465569952
sausage,320.0,2.329305575775222
spinach,317.0,2.307468336002329
rosemary,305.0,2.2201193769107586
oat,301.0,2.1910030572135684
olive,300.0,2.1837239772892705
chili,300.0,2.18372397728927
pea,282.0,2.0527005386519144
coconut,279.0,2.030863298879021
noodle,277.0,2.0163051390304263
zest,275.0,2.0017469791818314
white,267.0,1.943514339787451
banana,260.0,1.892560780317368
half,251.0,1.82704906099869
spray,248.0,1.8052118212257973
buttermilk,240.0,1.7469791818314166
shallot,240.0,1.7469791818314166
pumpkin,239.0,1.7397001019071192
chocolate,239.0,1.7397001019071192
shortening,238.0,1.7324210219828213
fillet,231.0,1.6814674625127388
steak,230.0,1.6741883825884414
yogurt,230.0,1.674188382588441
ketchup,225.0,1.637792982966953
yeast,225.0,1.637792982966953
sage,224.0,1.6305139030426556
allspice,222.0,1.6159557431940603
cube,221.0,1.6086766632697633
zucchini,217.0,1.5795603435725725
ham,215.0,1.5650021837239776
yolk,211.0,1.5358858640267872
shrimp,208.0,1.5140486242538946
tortilla,203.0,1.4776532246324063
chive,197.0,1.4339787450866215
turkey,197.0,1.4339787450866213
rib,193.0,1.4048624253894306
lemon,190.0,1.3830251856165383
lettuce,185.0,1.3466297859950505
cherry,183.0,1.3320716261464556
stick,183.0,1.3320716261464554
scallion,182.0,1.3247925462221577
salsa,181.0,1.3175134662978603
cocoa,181.0,1.31751346629786
cabbage,179.0,1.302955306449265
crust,177.0,1.2883971466006696
broccoli,175.0,1.2738389867520747
orange,174.0,1.266559906827777
squash,168.0,1.2228854272819918
crumb,168.0,1.2228854272819918
coriander,164.0,1.1937691075848011
chop,162.0,1.179210947736207
puree,160.0,1.1646527878876116
pineapple,157.0,1.1428155481147184
cracker,154.0,1.120978308341826
substitute,153.0,1.1136992284175282
half-and-half,148.0,1.0773038287960401
molass,146.0,1.0627456689474453
dressing,144.0,1.0481875090988497
cucumber,142.0,1.033629349250255
rind,141.0,1.0263502693259572
spice,140.0,1.0190711894016597
topping,140.0,1.0190711894016597
cornmeal,135.0,0.9826757897801718
avocado,134.0,0.9753967098558741
turmeric,132.0,0.960838550007279
shell,132.0,0.9608385500072789
applesauce,132.0,0.9608385500072789
peanut,130.0,0.9462803901586838
roll,127.0,0.9244431503857912
marshmallow,127.0,0.9244431503857911
cereal,119.0,0.8662105109914107
whip,117.0,0.8516523511428156
coffee,115.0,0.8370941912942202
macaroni,114.0,0.8298151113699228
peel,111.0,0.80797787159703
vegetable,109.0,0.7934197117484348
beer,108.0,0.7861406318241373
granule,106.0,0.7715824719755423
dill,105.0,0.7643033920512448
roast,105.0,0.7643033920512446
rum,104.0,0.7570243121269471
lentil,103.0,0.7497452322026497
cayenne,102.0,0.742466152278352
piece,102.0,0.7424661522783519
floret,101.0,0.7351870723540546
thigh,101.0,0.7351870723540543
strawberry,100.0,0.7279079924297568
slice,94.0,0.6842335128839714
gelatin,94.0,0.6842335128839714
spaghetti,94.0,0.6842335128839714
sprout,94.0,0.6842335128839713
cauliflower,93.0,0.6769544329596738
pork,93.0,0.6769544329596737
date,92.0,0.6696753530353764
leek,92.0,0.6696753530353763
meat,92.0,0.6696753530353763
gingerroot,88.0,0.6405590333381862
jalapeno,88.0,0.6405590333381861
horseradish,88.0,0.640559033338186
pear,88.0,0.6405590333381859
peppercorn,86.0,0.6260008734895908
cider,85.0,0.6187217935652933
crabmeat,85.0,0.6187217935652933
caper,83.0,0.6041636337166982
sherry,82.0,0.5968845537924006
blueberry,81.0,0.589605473868103
tenderloin,80.0,0.5823263939438056
heart,80.0,0.5823263939438055
cardamom,78.0,0.5677682340952104
coloring,78.0,0.5677682340952104
chile,77.0,0.5604891541709127
brandy,76.0,0.5532100742466153
vodka,76.0,0.5532100742466153
dough,76.0,0.5532100742466152
chestnut,76.0,0.5532100742466151
marjoram,74.0,0.5386519143980202
filling,73.0,0.5313728344737225
concentrate,72.0,0.524093754549425
green,71.0,0.5168146746251274
tartar,71.0,0.5168146746251273
biscuit,70.0,0.5095355947008298
mint,70.0,0.5095355947008298
fruit,68.0,0.4949774348522346
apricot,67.0,0.48769835492793706
jam,67.0,0.48769835492793706
preserve,66.0,0.4804192750036395
cookie,66.0,0.48041927500363946
tofu,66.0,0.48041927500363946
tarragon,65.0,0.47314019507934196
lime,64.0,0.4658611151550444
weed,63.0,0.45858203523074687
oatmeal,63.0,0.4585820352307468
liqueur,62.0,0.45130295530644915
kernel,60.0,0.4367447954578541
eggplant,60.0,0.43674479545785405
raspberry,59.0,0.4294657155335566
chickpea,59.0,0.4294657155335566
wedge,58.0,0.42218663560925895
bun,56.0,0.40762847576066386
candy,56.0,0.40762847576066386
ice,55.0,0.40034939583636625
tuna,55.0,0.40034939583636625
smoke,54.0,0.3930703159120687
sprig,53.0,0.3857912359877711
pepperoni,53.0,0.3857912359877711
blend,52.0,0.37851215606347344
cashew,51.0,0.371233076139176
sauerkraut,51.0,0.371233076139176
parsnip,51.0,0.371233076139176
pudding,50.0,0.36395399621487845
pastry,50.0,0.3639539962148784
peach,49.0,0.3566749162905809
barley,49.0,0.3566749162905809
asparagu,49.0,0.35667491629058085
salmon,49.0,0.35667491629058085
grape,48.0,0.34939583636628324
bar,48.0,0.3493958363662832
square,47.0,0.3421167564419857
granular,46.0,0.33483767651768814
masala,46.0,0.33483767651768814
kielbasa,46.0,0.3348376765176881
lamb,46.0,0.3348376765176881
chuck,45.0,0.3275585965933906
hamburger,45.0,0.3275585965933906
bourbon,44.0,0.32027951666909305
chunk,44.0,0.320279516669093
bouillon,44.0,0.320279516669093
relish,44.0,0.32027951666909293
germ,42.0,0.3057213568204979
wing,42.0,0.3057213568204979
berry,42.0,0.30572135682049784
soymilk,42.0,0.30572135682049784
marmalade,41.0,0.2984422768962003
couscou,41.0,0.29844227689620023
herb,41.0,0.29844227689620023
flavoring,41.0,0.2984422768962002
gravy,39.0,0.2838841170476052
pickle,39.0,0.2838841170476052
bran,39.0,0.2838841170476052
baguette,39.0,0.28388411704760513
catsup,38.0,0.27660503712330764
scallop,38.0,0.27660503712330753
linguine,38.0,0.27660503712330753
frosting,37.0,0.26932595719901004
pimiento,36.0,0.2620468772747125
cornflour,36.0,0.2620468772747125
bit,36.0,0.26204687727471243
crouton,36.0,0.26204687727471243
pod,35.0,0.25476779735041494
bag,35.0,0.25476779735041494
beet,34.0,0.24748871742611733
eggnog,34.0,0.24748871742611733
adobo,34.0,0.24748871742611733
yam,33.0,0.24020963750181976
hazelnut,33.0,0.24020963750181973
shoulder,32.0,0.2329305575775222
turnip,32.0,0.2329305575775222
bisquick,32.0,0.2329305575775222
meal,32.0,0.23293055757752218
jelly,31.0,0.22565147765322469
popcorn,31.0,0.22565147765322466
nectar,31.0,0.22565147765322466
mango,31.0,0.22565147765322463
stuffing,30.0,0.21837239772892708
dog,30.0,0.21837239772892708
kahlua,30.0,0.21837239772892705
prosciutto,30.0,0.21837239772892705
fettuccine,30.0,0.21837239772892705
wafer,29.0,0.2110933178046295
mace,29.0,0.2110933178046295
capsicum,29.0,0.21109331780462948
spread,28.0,0.20381423788033198
dripping,28.0,0.20381423788033196
liver,28.0,0.20381423788033193
cocktail,28.0,0.20381423788033193
whiskey,28.0,0.20381423788033193
currant,28.0,0.2038142378803319
quinoa,27.0,0.19653515795603435
cornbread,27.0,0.19653515795603435
radish,27.0,0.19653515795603435
creamer,26.0,0.18925607803173683
round,26.0,0.1892560780317368
essence,26.0,0.1892560780317368
krispy,26.0,0.1892560780317368
muffin,26.0,0.1892560780317368
chutney,26.0,0.1892560780317368
prawn,26.0,0.1892560780317368
tortellini,26.0,0.18925607803173677
sprinkle,26.0,0.18925607803173677
morsel,25.0,0.18197699810743923
kale,25.0,0.18197699810743923
arugula,25.0,0.18197699810743923
clam,24.0,0.1746979181831417
vermouth,24.0,0.17469791818314165
schnapp,24.0,0.17469791818314165
brisket,24.0,0.17469791818314165
tender,23.0,0.1674188382588441
sirloin,23.0,0.1674188382588441
salami,23.0,0.16741883825884407
tamari,22.0,0.16013975833454652
penne,22.0,0.16013975833454652
ale,22.0,0.16013975833454652
lemongras,22.0,0.16013975833454652
bulb,22.0,0.16013975833454652
caramel,22.0,0.1601397583345465
pistachio,22.0,0.1601397583345465
base,21.0,0.15286067841024897
mirin,21.0,0.15286067841024895
gorgonzola,21.0,0.15286067841024895
loin,21.0,0.15286067841024895
creme,21.0,0.15286067841024895
drumstick,21.0,0.15286067841024895
fig,21.0,0.15286067841024895
crisco,21.0,0.15286067841024895
hock,20.0,0.1455815984859514
sweetener,20.0,0.1455815984859514
fraiche,20.0,0.14558159848595137
chex,20.0,0.14558159848595137
brown,19.0,0.13830251856165382
meatball,19.0,0.13830251856165382
spear,19.0,0.13830251856165382
pectin,19.0,0.13830251856165382
wrapper,19.0,0.13830251856165382
starch,19.0,0.13830251856165382
pesto,19.0,0.13830251856165382
tahini,19.0,0.13830251856165382
ravioli,19.0,0.13830251856165382
pretzel,19.0,0.1383025185616538
marnier,18.0,0.13102343863735624
